sequence,scene,amount
2019-03-14,sh600628,7.51
2019-03-14,sh600629,13.6
2019-03-14,sh600630,8.63
2019-03-12,sh600631,0.0
2019-03-12,sh600632,0.0
2019-03-14,sh600633,10.57
2019-03-14,sh600634,2.77
2019-03-14,sh600635,7.4
2019-03-14,sh600636,15.12
2019-03-14,sh600637,12.5
2019-03-14,sh600638,9.6
2019-03-14,sh600639,14.7
2019-03-14,sh600640,13.63
2019-03-14,sh600641,12.26
2019-03-14,sh600642,5.5
2019-03-14,sh600643,11.76
2019-03-14,sh600644,5.88
2019-03-14,sh600645,22.87
2019-03-12,sh600646,0.0
2019-03-14,sh600647,14.62
2019-03-14,sh600648,17.51
2019-03-14,sh600649,8.3
2019-03-14,sh600650,12.01
2019-03-14,sh600651,5.62
2019-03-14,sh600652,5.09
2019-03-14,sh600653,2.58
2019-03-14,sh600654,2.19
2019-03-14,sh600655,8.55
2019-03-14,sh600656,0.0
2019-03-14,sh600657,5.06
2019-03-14,sh600658,7.19
2019-03-12,sh600659,0.0
2019-03-14,sh600660,23.94
2019-03-14,sh600661,22.6
2019-03-14,sh600662,5.11
2019-03-14,sh600663,18.11
2019-03-14,sh600664,4.66
2019-03-14,sh600665,4.23
2019-03-14,sh600666,4.0
2019-03-14,sh600667,7.7
2019-03-14,sh600668,13.95
2019-03-12,sh600669,0.0
2019-03-12,sh600670,0.0
2019-03-14,sh600671,19.24
2019-03-12,sh600672,0.0
2019-03-14,sh600673,8.67
2019-03-14,sh600674,9.26
2019-03-14,sh600675,6.62
2019-03-14,sh600676,5.39
2019-03-14,sh600677,15.52
2019-03-14,sh600678,7.22
2019-03-14,sh600679,12.08
2019-03-14,sh600680,0.0
2019-03-14,sh600681,13.42
2019-03-14,sh600682,14.1
2019-03-14,sh600683,5.25
2019-03-14,sh600684,5.04
2019-03-14,sh600685,16.01
2019-03-14,sh600686,9.88
2019-03-14,sh600687,5.07
2019-03-14,sh600688,5.5
2019-03-14,sh600689,12.8
2019-03-14,sh600690,15.99
2019-03-14,sh600691,2.81
2019-03-14,sh600692,8.2
2019-03-14,sh600693,6.02
2019-03-14,sh600694,29.81
2019-03-14,sh600695,6.58
2019-03-14,sh600696,6.07
2019-03-14,sh600697,21.4
2019-03-14,sh600698,4.38
2019-03-14,sh600699,28.01
2019-03-12,sh600700,0.0
2019-03-14,sh600701,2.55
2019-03-14,sh600702,27.51
2019-03-14,sh600703,15.0
2019-03-14,sh600704,5.68
2019-03-14,sh600705,5.73
2019-03-14,sh600706,11.97
2019-03-14,sh600707,6.27
2019-03-14,sh600708,5.05
2019-03-12,sh600709,0.0
2019-03-14,sh600710,5.11
2019-03-14,sh600711,6.23
2019-03-14,sh600712,4.66
2019-03-14,sh600713,4.96
2019-03-14,sh600714,7.2
2019-03-14,sh600715,5.38
2019-03-14,sh600716,4.44
2019-03-14,sh600717,8.42
2019-03-14,sh600718,14.66
2019-03-14,sh600719,5.46
2019-03-14,sh600720,7.8
